BILL OF MATERIAL FROM TEST_WIDERSTAENDE_AUS_RCL.SCH, 29 PARTS, GROUPED BY VALUES, AS OF 05.10.2010 16:00:00;;;;;;;;;;;;;;;;;;
Part;Value;Device;Package;Description;Description2;Qty;Place_YES/NO;Povided_by_customer_YES/NO;Distributor;Ordernumber;Weblink;Remarks_customer;Unit_price;Total_price;REMARKS_BETA;OPTION1;OPTION2;OPTION3
C1, C2, C8, C20, C23, C40, C41, C42, C43;10uF;C-EUC0805;C0805;CAPACITOR, European symbol;Capacitor, 0805, 10uF, 16V;9;YES;NO;Beta;6911161P;http://uk.rs-online.com/web/search/searchBrowseAction.html?method=searchProducts&searchTerm=6911161P&x=0&y=0; ; ;#WERT!; ; ; ; 
C3, C9;4700pF;C-EUC0603;C0603;CAPACITOR, European symbol; ;2;YES;NO;Digikey;445-173690-1-ND;http://www.digikey.ch/product-detail/de/C1608X7R1H472K080AE/445-173690-1-ND/5809761; ;0.09;0.18; ; ; ; 
C4, C5;330uF;CPOL-EUC/6032-28R;C/6032-28R;POLARIZED CAPACITOR, European symbol; ;2;YES;NO;Digikey; 478-4773-1-ND; http://www.digikey.ch/product-detail/de/TAJC337K006RNJ/478-4773-1-ND/1833865; ; ;#WERT!; ; ; ; 
C6, C7, C48;47uF;C-EUC1210;C1210;CAPACITOR, European symbol; ;3;YES;NO;Digikey; 490-5312-1-ND; http://www.digikey.ch/product-detail/de/GRM32ER71A476KE15L/490-5312-1-ND/2039091; ; ;#WERT!; ; ; ; 
C10, C11, C12, C28, C29, C31, C32, C34, C35, C37, C38;0.47uF;C-EUC0603;C0603;CAPACITOR, European symbol; ;11;YES;NO;Digikey;445-1320-1-ND;http://www.digikey.ch/product-detail/de/C1608X5R1A474K080AA/445-1320-1-ND/567693; ; ;#WERT!; ; ; ; 
C13;220pF;C-EUC0603;C0603;CAPACITOR, European symbol; ;1;YES;NO;Digikey;1276-2234-1-ND;http://www.digikey.ch/product-detail/de/CL10C221JB8NCNC/1276-2234-1-ND/3890320; ; ;#WERT!; ; ; ; 
C14;1500pF;C-EUC0603;C0603;CAPACITOR, European symbol; ;1;YES;NO;Digikey;1276-1960-1-ND;http://www.digikey.ch/product-detail/de/CL10B152KB8SFNC/1276-1960-1-ND/3890046; ; ;#WERT!; ; ; ; 
C15;27pF;C-EUC0603;C0603;CAPACITOR, European symbol; ;1;YES;NO;Digikey; 1276-2245-1-ND; http://www.digikey.ch/product-detail/de/CL10C270FB8NNNC/1276-2245-1-ND/3890331; ; ;#WERT!; ; ; ; 
C16, C17, C18, C19, C21, C26, C39, C44, C45, C46, C47;0.1uF;C-EUC0603;C0603;CAPACITOR, European symbol; ;11;YES;NO;Digikey;  1276-1061-1-ND; http://www.digikey.ch/product-detail/de/CL10B104JO8NNNC/1276-1061-1-ND/3889147; ; ;#WERT!; ; ; ; 
C22, C24, C25; ;C-US050-035X075;C050-035X075;CAPACITOR, American symbol; ;3;NO;NO;; ; ; ; ;#WERT!; ; ; ; 
C27, C30, C33, C36;2.2uF;C-EUC0603;C0603;CAPACITOR, European symbol; ;4;YES;NO;Digikey;311-1452-1-ND;http://www.digikey.ch/product-detail/de/CC0603ZRY5V5BB225/311-1452-1-ND/2833758; ; ;#WERT!; ; ; ; 
D1; ;POWER-DIODE_PDS835L;POWER-DIODE_PDS835L; ;;1;YES;NO;Digikey;PDS835LDICT-ND;http://www.digikey.ch/product-detail/de/PDS835L-13/PDS835LDICT-ND/717937;;;0;;;;
DRV; ;VNL5050;SOT-223; ;;1;YES;NO;Digikey;497-11709-1-ND;http://www.digikey.ch/product-detail/de/VNL5050N3TR-E/497-11709-1-ND/2746938;;;0;;;;
J1;MOLEX-MINI-FIT-JR-2POS-RA;MOLEX-MINI-FIT-JR-2POS-RA;MOLEX-MINI-FIT-JR-2POS-RA; ; ;1;NO;NO;Digikey; WM1351-ND; http://www.digikey.ch/product-detail/de/0039301020/WM1351-ND/561078; ; ;#WERT!; ; ; ; 
